indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
170,Proyectos hidroeléctricos,b33aca04-81d8-44ef-8842-162aa69330ca,OK,0,1
171,Publicaciones CAMMESA,2b4dfee6-6fca-4e4d-9611-a12d65cd4aa8,ERROR,1,2
172,Redes de distribución eléctrica del Consejo Federal,ff99e7be-7bab-4617-9588-9a74ae046a40,OK,0,74
173,"Redes Inteligentes - Realidad, utopía o futuro",5f59d24f-2560-4cfd-b0eb-a3f4b3e39b94,ERROR,4,1
174,Refinación Hidrocarburos Petroquímicas,8fc4e505-bd4d-431e-863e-1e44b4f6ee01,OK,0,4
175,Refinación Hidrocarburos Refinerías,a9eed347-78ab-45c0-a489-b227fe42ee1b,OK,0,4
176,"Refinación y Comercialización de Petróleo, Gas y Derivados (Tablas Dinámicas)",5bdc436c-60d4-4c86-98ab-59834d047700,OK,0,10
177,"Regalías de Petróleo Crudo, Gas Natural, GLP, Gasolina y Condensado",91818b43-e6cd-43cb-916f-15987b87de69,OK,0,4
178,Registro de empresas de hidrocarburos del upstream,2b227214-829d-4ef5-9f3e-c9bb49fa2f4c,ERROR,1,5
179,Registro de empresas de transporte de hidrocarburos por ductos,c126ad73-399a-4fa4-be8e-bd0142f3608c,ERROR,1,2
180,Registro de empresas e instalaciones con tanques aéreos de hidrocarburos líquidos,c9611150-ed6d-4751-9a61-2dbb6dcfebb7,ERROR,1,2
181,Registro de empresas e instalaciones de GLP,7689a7b6-f12d-43f4-8a41-486ad7912b6c,ERROR,2,2
182,Padrón de operadores autorizados para la venta de combustibles líquidos,21a54fa2-539d-4570-b1cd-679d54229d2f,ERROR,1,2
183,Reservas de gas,38ed16d6-a044-4076-8ea9-669ed267463d,ERROR,1,4
184,Reservas de petróleo,b3b8cc43-ec9e-4973-bbca-65f1070d96d9,ERROR,1,3
185,Reservas de Petróleo y Gas,61c8fc78-540f-463b-aefb-ef854e6baed1,ERROR,4,25
186,Salto Grande,3476af68-65ad-42e4-967a-916ec57bb4e0,ERROR,3,1
187,Síntesis del Mercado Eléctrico Mayorista,f2acbbca-85c6-43a3-994f-c843f466d245,ERROR,3,1
188,The beginning of the transformation,182d2184-49a2-4769-a33b-e4204eac3183,ERROR,1,1
189,Transporte Eléctrico AT Estaciones Transformadoras,5ae5fbf9-5ab3-407b-a047-625bf27835aa,OK,0,4
190,Transporte Eléctrico AT Estructuras,caf271e7-a89e-4c09-ac6c-1864eb8faf3a,OK,0,4
191,Transporte Eléctrico AT Líneas,53014951-6ee1-4e99-a830-c4d0eb373496,OK,0,3
192,Transporte Hidrocarburos Ductos Troncales Gasoductos,8758101a-1e0d-413f-8cc5-83e21ece6391,OK,0,4
193,Transporte Hidrocarburos Ductos Troncales JP Ducto,9ab57324-669c-4597-8f10-081f581629c1,OK,0,4
194,Transporte Hidrocarburos Ductos Troncales Oleoductos,61ce171c-cea4-45da-907a-dc64731be021,OK,0,4
195,Transporte Hidrocarburos Ductos Troncales Poliductos,72d74a8e-872e-4bc4-907a-c57b2d063158,OK,0,4
196,Transporte Hidrocarburos Ductos Troncales Propanoductos,b5681530-fb92-4fff-ae89-9a327f28120f,OK,0,4
197,Ventas de combustibles líquidos,eba07414-a6c0-446f-bc9b-7980c072a490,ERROR,2,1
198,Ventas de combustibles líquidos terminales,d086e6c8-237f-46cd-a1a5-1d4fadaffb33,ERROR,1,3
199,Ventas GLP,63ab43cc-7055-4969-87d3-6a969f1d5386,ERROR,1,11
